date,cc,cloud_cover
19600101,    7,    7
19600102,    7,    7
19600103,    8,    8
19600104,    8,    8
19600105,    5,    5
19600106,    1,    1
19600107,-9999,-9999
19600108,-9999,-9999
19600109,    3,    3
19600110,    3,    3
19600111,    7,    7
19600112,    5,    5
19600113,    7,    7
19600114,    6,    6
19600115,    7,    7
19600116,    8,    8
19600117,    6,    6
19600118,    6,    6
19600119,    6,    6
19600120,    5,    5
19600121,    8,    8
19600122,    8,    8
19600123,    8,    8
19600124,    8,    8
19600125,    5,    5
19600126,-9999,-9999
19600127,    8,    8
19600128,    8,    8
19600129,    5,    5
19600130,    8,    8
19600131,    7,    7
19600201,    6,    6
19600202,    7,    7
19600203,    7,    7
19600204,    5,    5
19600205,    3,    3
19600206,    5,    5
19600207,    3,    3
19600208,    4,    4
19600209,    7,    7
19600210,    7,    7
19600211,    8,    8
19600212,    8,    8
19600213,    8,    8
19600214,    7,    7
19600215,    2,    2
19600216,    2,    2
19600217,    2,    2
19600218,    4,    4
19600219,    3,    3
19600220,    6,    6
19600221,    5,    5
19600222,    8,    8
19600223,    6,    6
19600224,-9999,-9999
19600225,    8,    8
19600226,    8,    8
19600227,    7,    7
19600228,    7,    7
19600229,    6,    6
19600301,    7,    7
19600302,    6,    6
19600303,    4,    4
19600304,    5,    5
19600305,    6,    6
19600306,    7,    7
19600307,    4,    4
19600308,    6,    6
19600309,    7,    7
19600310,    6,    6
19600311,    7,    7
19600312,    6,    6
19600313,    7,    7
19600314,    7,    7
19600315,    7,    7
19600316,    8,    8
19600317,    8,    8
19600318,    8,    8
19600319,    8,    8
19600320,    3,    3
19600321,    2,    2
19600322,    1,    1
19600323,    2,    2
19600324,    4,    4
19600325,    7,    7
19600326,    8,    8
19600327,    8,    8
19600328,    8,    8
19600329,    8,    8
19600330,    8,    8
19600331,    5,    5
19600401,-9999,-9999
19600402,    7,    7
19600403,    7,    7
19600404,    6,    6
19600405,    7,    7
19600406,    7,    7
19600407,    7,    7
19600408,    6,    6
19600409,    6,    6
19600410,    6,    6
19600411,    5,    5
19600412,    7,    7
19600413,    6,    6
19600414,    3,    3
19600415,    7,    7
19600416,    3,    3
19600417,    4,    4
19600418,    4,    4
19600419,    2,    2
19600420,    0,    0
19600421,    1,    1
19600422,    4,    4
19600423,    5,    5
19600424,    4,    4
19600425,    8,    8
19600426,    6,    6
19600427,    2,    2
19600428,    5,    5
19600429,    5,    5
19600430,    3,    3
19600501,    8,    8
19600502,    7,    7
19600503,    5,    5
19600504,    6,    6
19600505,    5,    5
19600506,    4,    4
19600507,    5,    5
19600508,    5,    5
19600509,    7,    7
19600510,    1,    1
19600511,    8,    8
19600512,    8,    8
19600513,    6,    6
19600514,    5,    5
19600515,    7,    7
19600516,    5,    5
19600517,    6,    6
19600518,    7,    7
19600519,    8,    8
19600520,    8,    8
19600521,    8,    8
19600522,    7,    7
19600523,    5,    5
19600524,    3,    3
19600525,    5,    5
19600526,    6,    6
19600527,    6,    6
19600528,    4,    4
19600529,    4,    4
19600530,    3,    3
19600531,    1,    1
19600601,    4,    4
19600602,    2,    2
19600603,    4,    4
19600604,    0,    0
19600605,    3,    3
19600606,    7,    7
19600607,    4,    4
19600608,    7,    7
19600609,    6,    6
19600610,    5,    5
19600611,    7,    7
19600612,    7,    7
19600613,    4,    4
19600614,    5,    5
19600615,    5,    5
19600616,    7,    7
19600617,    6,    6
19600618,    4,    4
19600619,    3,    3
19600620,    2,    2
19600621,    1,    1
19600622,    4,    4
19600623,    6,    6
19600624,    7,    7
19600625,    7,    7
19600626,    3,    3
19600627,    8,    8
19600628,    4,    4
19600629,    4,    4
19600630,    4,    4
19600701,    6,    6
19600702,    5,    5
19600703,    7,    7
19600704,    7,    7
19600705,    7,    7
19600706,    6,    6
19600707,    7,    7
19600708,    7,    7
19600709,    6,    6
19600710,    7,    7
19600711,    6,    6
19600712,    7,    7
19600713,    7,    7
19600714,    5,    5
19600715,    3,    3
19600716,    6,    6
19600717,    6,    6
19600718,    5,    5
19600719,    6,    6
19600720,    7,    7
19600721,    5,    5
19600722,    3,    3
19600723,    6,    6
19600724,    7,    7
19600725,    6,    6
19600726,    5,    5
19600727,    7,    7
19600728,    7,    7
19600729,    6,    6
19600730,    6,    6
19600731,    2,    2
19600801,    5,    5
19600802,    4,    4
19600803,    6,    6
19600804,    6,    6
19600805,    3,    3
19600806,    5,    5
19600807,    7,    7
19600808,    7,    7
19600809,    4,    4
19600810,    7,    7
19600811,    8,    8
19600812,    5,    5
19600813,    6,    6
19600814,    7,    7
19600815,    4,    4
19600816,    3,    3
19600817,    5,    5
19600818,    6,    6
19600819,    5,    5
19600820,    7,    7
19600821,    6,    6
19600822,    6,    6
19600823,    5,    5
19600824,    8,    8
19600825,    5,    5
19600826,    5,    5
19600827,    4,    4
19600828,    5,    5
19600829,    6,    6
19600830,    5,    5
19600831,    5,    5
19600901,    7,    7
19600902,    7,    7
19600903,    6,    6
19600904,    5,    5
19600905,    5,    5
19600906,    8,    8
19600907,    8,    8
19600908,    2,    2
19600909,    6,    6
19600910,    3,    3
19600911,    3,    3
19600912,    7,    7
19600913,    4,    4
19600914,    6,    6
19600915,    5,    5
19600916,    8,    8
19600917,    5,    5
19600918,    3,    3
19600919,    6,    6
19600920,    7,    7
19600921,    4,    4
19600922,    8,    8
19600923,    7,    7
19600924,-9999,-9999
19600925,    4,    4
19600926,    3,    3
19600927,    4,    4
19600928,    5,    5
19600929,    5,    5
19600930,    7,    7
19601001,    7,    7
19601002,    7,    7
19601003,    6,    6
19601004,    6,    6
19601005,    6,    6
19601006,    6,    6
19601007,    7,    7
19601008,    7,    7
19601009,    8,    8
19601010,    7,    7
19601011,    2,    2
19601012,    1,    1
19601013,    3,    3
19601014,    5,    5
19601015,    3,    3
19601016,    5,    5
19601017,-9999,-9999
19601018,    6,    6
19601019,    8,    8
19601020,    8,    8
19601021,    7,    7
19601022,    7,    7
19601023,-9999,-9999
19601024,    7,    7
19601025,    4,    4
19601026,    8,    8
19601027,    5,    5
19601028,    4,    4
19601029,-9999,-9999
19601030,    7,    7
19601031,    7,    7
19601101,    7,    7
19601102,    4,    4
19601103,    6,    6
19601104,    5,    5
19601105,    4,    4
19601106,    3,    3
19601107,    1,    1
19601108,    5,    5
19601109,    7,    7
19601110,    6,    6
19601111,    5,    5
19601112,    6,    6
19601113,-9999,-9999
19601114,    6,    6
19601115,    4,    4
19601116,    2,    2
19601117,    6,    6
19601118,    4,    4
19601119,    4,    4
19601120,    8,    8
19601121,    8,    8
19601122,    6,    6
19601123,    6,    6
19601124,    5,    5
19601125,    6,    6
19601126,    6,    6
19601127,    7,    7
19601128,    4,    4
19601129,    7,    7
19601130,    8,    8
19601201,    7,    7
19601202,    2,    2
19601203,    8,    8
19601204,    6,    6
19601205,    2,    2
19601206,    7,    7
19601207,-9999,-9999
19601208,-9999,-9999
19601209,-9999,-9999
19601210,    6,    6
19601211,    5,    5
19601212,    7,    7
19601213,    5,    5
19601214,    8,    8
19601215,    8,    8
19601216,    6,    6
19601217,    7,    7
19601218,-9999,-9999
19601219,    8,    8
19601220,    8,    8
19601221,    6,    6
19601222,    5,    5
19601223,    7,    7
19601224,    7,    7
19601225,    6,    6
19601226,    5,    5
19601227,    2,    2
19601228,    5,    5
19601229,    4,    4
19601230,    5,    5
19601231,    3,    3
19610101,    5,    5
19610102,    6,    6
19610103,    5,    5
19610104,    6,    6
19610105,    5,    5
19610106,    4,    4
19610107,    5,    5
19610108,    3,    3
19610109,    5,    5
19610110,    6,    6
19610111,    2,    2
19610112,    5,    5
19610113,    8,    8
19610114,    4,    4
19610115,    5,    5
19610116,    5,    5
19610117,    8,    8
19610118,    6,    6
19610119,    7,    7
19610120,    7,    7
19610121,    7,    7
19610122,    7,    7
19610123,    8,    8
19610124,    8,    8
19610125,    8,    8
19610126,    7,    7
19610127,    6,    6
19610128,    7,    7
19610129,    8,    8
19610130,    7,    7
19610131,    6,    6
19610201,    5,    5
19610202,    7,    7
19610203,    5,    5
19610204,    6,    6
19610205,    8,    8
19610206,    6,    6
19610207,    4,    4
19610208,    8,    8
19610209,    5,    5
19610210,    7,    7
19610211,    6,    6
19610212,    7,    7
19610213,    7,    7
19610214,-9999,-9999
19610215,    8,    8
19610216,    8,    8
19610217,-9999,-9999
19610218,-9999,-9999
19610219,-9999,-9999
19610220,    6,    6
19610221,    8,    8
19610222,    7,    7
19610223,    7,    7
19610224,    8,    8
19610225,    6,    6
19610226,    7,    7
19610227,    7,    7
19610228,    5,    5
19610301,    7,    7
19610302,    5,    5
19610303,    4,    4
19610304,    4,    4
19610305,    1,    1
19610306,    2,    2
19610307,    5,    5
19610308,    0,    0
19610309,-9999,-9999
19610310,-9999,-9999
19610311,    5,    5
19610312,    7,    7
19610313,    6,    6
19610314,    5,    5
19610315,    1,    1
19610316,    2,    2
19610317,    2,    2
19610318,    3,    3
19610319,    3,    3
19610320,    5,    5
19610321,    5,    5
19610322,    5,    5
19610323,    6,    6
19610324,    1,    1
19610325,    3,    3
19610326,    5,    5
19610327,    4,    4
19610328,    6,    6
19610329,    8,    8
19610330,    7,    7
19610331,    5,    5
19610401,    8,    8
19610402,    8,    8
19610403,    8,    8
19610404,    8,    8
19610405,    6,    6
19610406,    7,    7
19610407,    8,    8
19610408,    8,    8
19610409,    6,    6
19610410,    8,    8
19610411,    6,    6
19610412,    7,    7
19610413,    6,    6
19610414,    6,    6
19610415,    4,    4
19610416,    4,    4
19610417,    6,    6
19610418,    3,    3
19610419,    6,    6
19610420,    7,    7
19610421,    6,    6
19610422,    7,    7
19610423,    6,    6
19610424,    2,    2
19610425,    6,    6
19610426,    6,    6
19610427,    6,    6
19610428,    5,    5
19610429,    6,    6
19610430,    6,    6
19610501,    8,    8
19610502,    5,    5
19610503,    6,    6
19610504,    8,    8
19610505,    5,    5
19610506,    6,    6
19610507,    4,    4
19610508,    3,    3
19610509,    5,    5
19610510,    3,    3
19610511,    2,    2
19610512,    5,    5
19610513,    6,    6
19610514,    5,    5
19610515,    6,    6
19610516,    4,    4
19610517,    3,    3
19610518,    4,    4
19610519,    8,    8
19610520,    6,    6
19610521,    5,    5
19610522,    3,    3
19610523,    5,    5
19610524,    7,    7
19610525,    6,    6
19610526,    6,    6
19610527,    3,    3
19610528,    4,    4
19610529,    6,    6
19610530,    4,    4
