date,tn,min_temp
19600101,   94,3.9
19600102,   39,6.1
19600103,   61,6.7
19600104,   67,8.9
19600105,   89,0
19600106,    0,-1.7
19600107,  -17,-1.7
19600108,  -17,0
19600109,    0,-2.2
19600110,  -22,-1.7
19600111,  -17,-0.6
19600112,   -6,-3.3
19600113,  -33,-5
19600114,  -50,-2.2
19600115,  -22,-0.6
19600116,   -6,-1.7
19600117,  -17,-2.8
19600118,  -28,2.8
19600119,   28,1.7
19600120,   17,0
19600121,    0,3.3
19600122,   33,9.4
19600123,   94,8.3
19600124,   83,1.7
19600125,   17,-0.6
19600126,   -6,1.7
19600127,   17,3.9
19600128,   39,1.7
19600129,   17,2.2
19600130,   22,7.2
19600131,   72,2.2
19600201,   22,2.8
19600202,   28,8.3
19600203,   83,5
19600204,   50,0.6
19600205,    6,-1.1
19600206,  -11,1.1
19600207,   11,-1.1
19600208,  -11,1.1
19600209,   11,3.3
19600210,   33,1.7
19600211,   17,1.1
19600212,   11,0.6
19600213,    6,1.1
19600214,   11,-2.2
19600215,  -22,-1.7
19600216,  -17,-4.4
19600217,  -44,-3.9
19600218,  -39,1.1
19600219,   11,0.6
19600220,    6,1.1
19600221,   11,2.2
19600222,   22,2.8
19600223,   28,-3.9
19600224,  -39,0.6
19600225,    6,5
19600226,   50,6.1
19600227,   61,7.8
19600228,   78,9.4
19600229,   94,8.9
19600301,   89,8.9
19600302,   89,5
19600303,   50,2.8
19600304,   28,3.3
19600305,   33,4.4
19600306,   44,1.7
19600307,   17,2.2
19600308,   22,1.7
19600309,   17,3.9
19600310,   39,6.1
19600311,   61,5
19600312,   50,7.2
19600313,   72,7.2
19600314,   72,7.8
19600315,   78,5.6
19600316,   56,4.4
19600317,   44,3.3
19600318,   33,3.3
19600319,   33,1.7
19600320,   17,1.7
19600321,   17,1.1
19600322,   11,1.7
19600323,   17,5
19600324,   50,8.3
19600325,   83,4.4
19600326,   44,5
19600327,   50,3.9
19600328,   39,3.3
19600329,   33,3.9
19600330,   39,5.6
19600331,   56,1.7
19600401,   17,4.4
19600402,   44,8.3
19600403,   83,6.7
19600404,   67,8.9
19600405,   89,7.8
19600406,   78,9.4
19600407,   94,8.9
19600408,   89,6.7
19600409,   67,6.7
19600410,   67,5.6
19600411,   56,2.2
19600412,   22,8.3
19600413,   83,4.4
19600414,   44,3.9
19600415,   39,1.1
19600416,   11,-0.6
19600417,   -6,0
19600418,    0,2.8
19600419,   28,4.4
19600420,   44,3.3
19600421,   33,3.9
19600422,   39,5
19600423,   50,3.3
19600424,   33,7.8
19600425,   78,5.6
19600426,   56,1.1
19600427,   11,1.7
19600428,   17,3.3
19600429,   33,1.1
19600430,   11,7.2
19600501,   72,4.4
19600502,   44,5
19600503,   50,4.4
19600504,   44,10
19600505,  100,7.2
19600506,   72,9.4
19600507,   94,10
19600508,  100,14.4
19600509,  144,9.4
19600510,   94,12.8
19600511,  128,12.8
19600512,  128,11.7
19600513,  117,11.7
19600514,  117,12.2
19600515,  122,10.6
19600516,  106,10.6
19600517,  106,7.8
19600518,   78,10
19600519,  100,8.3
19600520,   83,8.9
19600521,   89,9.4
19600522,   94,5.6
19600523,   56,10.6
19600524,  106,6.7
19600525,   67,11.7
19600526,  117,13.9
19600527,  139,12.2
19600528,  122,6.7
19600529,   67,6.7
19600530,   67,6.7
19600531,   67,7.8
19600601,   78,10
19600602,  100,11.7
19600603,  117,12.2
19600604,  122,12.8
19600605,  128,16.1
19600606,  161,10.6
19600607,  106,12.2
19600608,  122,11.1
