date,rr,precipitation
19600101,   22,2.2
19600102,   23,2.3
19600103,    7,0.7
19600104,    0,0
19600105,    0,0
19600106,    0,0
19600107,    0,0
19600108,    0,0
19600109,    0,0
19600110,    5,0.5
19600111,    2,0.2
19600112,   12,1.2
19600113,    5,0.5
19600114,   10,1
19600115,    0,0
19600116,    0,0
19600117,    2,0.2
19600118,    1,0.1
19600119,   20,2
19600120,   56,5.6
19600121,    4,0.4
19600122,    8,0.8
19600123,  168,16.8
19600124,   18,1.8
19600125,    0,0
19600126,    0,0
19600127,  102,10.2
19600128,    1,0.1
19600129,   13,1.3
19600130,    0,0
19600131,    0,0
19600201,   13,1.3
19600202,   17,1.7
19600203,   14,1.4
19600204,   21,2.1
19600205,    0,0
19600206,    1,0.1
19600207,    0,0
19600208,    0,0
19600209,    0,0
19600210,    0,0
19600211,   14,1.4
19600212,   66,6.6
19600213,   30,3
19600214,   15,1.5
19600215,    0,0
19600216,    0,0
19600217,    0,0
19600218,    4,0.4
19600219,   51,5.1
19600220,   30,3
19600221,    0,0
19600222,   48,4.8
19600223,    0,0
19600224,   59,5.9
19600225,   45,4.5
19600226,   52,5.2
19600227,    0,0
19600228,    0,0
19600229,    0,0
19600301,    0,0
19600302,    5,0.5
19600303,    8,0.8
19600304,    0,0
19600305,    0,0
19600306,    0,0
19600307,    0,0
19600308,   16,1.6
19600309,   57,5.7
19600310,   58,5.8
19600311,    5,0.5
19600312,   13,1.3
19600313,    3,0.3
19600314,    8,0.8
19600315,    1,0.1
19600316,    0,0
19600317,    0,0
19600318,    0,0
19600319,    0,0
19600320,    0,0
19600321,    0,0
19600322,    0,0
19600323,    0,0
19600324,    0,0
19600325,    0,0
19600326,    0,0
19600327,    6,0.6
19600328,  114,11.4
19600329,   41,4.1
19600330,    4,0.4
19600331,    0,0
19600401,    0,0
19600402,   33,3.3
19600403,    4,0.4
19600404,    0,0
19600405,    2,0.2
19600406,   21,2.1
19600407,   13,1.3
19600408,    1,0.1
19600409,    3,0.3
19600410,    0,0
19600411,    0,0
19600412,   18,1.8
19600413,   10,1
19600414,    7,0.7
19600415,    0,0
19600416,    0,0
19600417,    0,0
19600418,    0,0
19600419,    0,0
19600420,    0,0
19600421,    0,0
19600422,    0,0
19600423,    0,0
19600424,    0,0
19600425,    5,0.5
19600426,    0,0
19600427,    0,0
19600428,    0,0
19600429,    0,0
19600430,    7,0.7
19600501,   11,1.1
19600502,   20,2
19600503,    0,0
19600504,    0,0
19600505,    0,0
19600506,    0,0
19600507,    0,0
19600508,    0,0
19600509,    0,0
19600510,    0,0
19600511,   36,3.6
19600512,  138,13.8
19600513,   21,2.1
19600514,    0,0
19600515,   11,1.1
19600516,    0,0
19600517,    0,0
19600518,    0,0
19600519,  166,16.6
19600520,   46,4.6
19600521,    0,0
19600522,    0,0
19600523,    7,0.7
19600524,    0,0
19600525,    0,0
19600526,    0,0
19600527,    0,0
19600528,    0,0
19600529,    0,0
19600530,    0,0
19600531,    0,0
19600601,    0,0
19600602,    0,0
19600603,    0,0
19600604,    0,0
19600605,    2,0.2
19600606,    0,0
19600607,   26,2.6
19600608,   27,2.7
19600609,   56,5.6
19600610,   38,3.8
19600611,    1,0.1
19600612,   27,2.7
19600613,    0,0
19600614,   70,7
19600615,    0,0
19600616,    0,0
19600617,    0,0
19600618,    0,0
19600619,    0,0
19600620,    0,0
19600621,    0,0
19600622,  141,14.1
19600623,   19,1.9
19600624,    6,0.6
19600625,    0,0
19600626,    0,0
19600627,   12,1.2
19600628,    3,0.3
19600629,    0,0
19600630,    0,0
19600701,    0,0
19600702,    0,0
19600703,    0,0
19600704,   32,3.2
19600705,    3,0.3
19600706,    2,0.2
19600707,   69,6.9
19600708,   28,2.8
19600709,   18,1.8
19600710,    8,0.8
19600711,   59,5.9
19600712,   64,6.4
19600713,   30,3
19600714,    0,0
19600715,    7,0.7
19600716,   83,8.3
19600717,   30,3
19600718,   13,1.3
19600719,   74,7.4
19600720,    0,0
19600721,    0,0
19600722,   73,7.3
19600723,    0,0
19600724,    0,0
19600725,    0,0
19600726,    0,0
19600727,   78,7.8
19600728,    1,0.1
19600729,    0,0
19600730,    0,0
19600731,    0,0
19600801,    4,0.4
19600802,   12,1.2
19600803,    0,0
19600804,    0,0
19600805,    0,0
19600806,    0,0
19600807,   42,4.2
19600808,    0,0
19600809,    1,0.1
19600810,   59,5.9
19600811,  259,25.9
19600812,    0,0
19600813,   44,4.4
19600814,    0,0
19600815,    0,0
19600816,    0,0
19600817,    8,0.8
19600818,   75,7.5
19600819,    2,0.2
