date,pp,pressure
19600101,10010,100100
19600102,10051,100510
19600103,10166,101660
19600104,10230,102300
19600105,10275,102750
19600106,10346,103460
19600107,10293,102930
19600108,10241,102410
19600109,10268,102680
19600110,10264,102640
19600111,10145,101450
19600112,10156,101560
19600113,10141,101410
19600114,10149,101490
19600115,10202,102020
19600116,10214,102140
19600117,10193,101930
19600118,10087,100870
19600119,10000,100000
19600120,10144,101440
19600121,10151,101510
19600122,10100,101000
19600123,10007,100070
19600124, 9920,99200
19600125,10077,100770
19600126,10092,100920
19600127,10055,100550
19600128,10002,100020
19600129,10182,101820
19600130,10237,102370
19600131,10237,102370
19600201,10210,102100
19600202,10210,102100
19600203,10076,100760
19600204,10036,100360
19600205,10163,101630
19600206,10295,102950
19600207,10403,104030
19600208,10411,104110
19600209,10323,103230
19600210,10190,101900
19600211,10002,100020
19600212, 9931,99310
19600213, 9929,99290
19600214, 9951,99510
19600215, 9972,99720
19600216,10034,100340
19600217,10008,100080
19600218, 9947,99470
19600219, 9952,99520
19600220, 9990,99900
19600221,10049,100490
19600222, 9954,99540
19600223,10035,100350
19600224,10088,100880
19600225, 9967,99670
19600226,10080,100800
19600227,10127,101270
19600228,10157,101570
19600229,10045,100450
19600301,10058,100580
19600302,10031,100310
19600303,10104,101040
19600304,10262,102620
19600305,10285,102850
19600306,10223,102230
19600307,10152,101520
19600308,10059,100590
19600309, 9912,99120
19600310, 9960,99600
19600311,10015,100150
19600312,10023,100230
19600313, 9992,99920
19600314, 9947,99470
19600315, 9998,99980
19600316,10114,101140
19600317,10222,102220
19600318,10277,102770
19600319,10303,103030
19600320,10312,103120
19600321,10269,102690
19600322,10244,102440
19600323,10190,101900
19600324,10108,101080
19600325,10086,100860
19600326,10070,100700
19600327,10071,100710
19600328,10063,100630
19600329,10056,100560
19600330,10094,100940
19600331,10143,101430
19600401,10152,101520
19600402,10092,100920
19600403, 9994,99940
19600404,10091,100910
19600405,10152,101520
19600406,10128,101280
19600407,10138,101380
19600408,10150,101500
19600409,10140,101400
19600410,10099,100990
19600411,10127,101270
19600412,10203,102030
19600413,10161,101610
19600414,10191,101910
19600415,10216,102160
19600416,10247,102470
19600417,10298,102980
19600418,10292,102920
19600419,10260,102600
19600420,10249,102490
19600421,10284,102840
19600422,10267,102670
19600423,10232,102320
19600424,10221,102210
19600425,10235,102350
19600426,10235,102350
19600427,10268,102680
19600428,10277,102770
19600429,10262,102620
19600430,10219,102190
19600501,10201,102010
19600502,10233,102330
19600503,10220,102200
19600504,10230,102300
19600505,10240,102400
19600506,10230,102300
19600507,10217,102170
19600508,10174,101740
19600509,10118,101180
19600510,10146,101460
19600511,10116,101160
19600512,10077,100770
19600513,10093,100930
19600514,10144,101440
19600515,10158,101580
19600516,10157,101570
19600517,10156,101560
19600518,10134,101340
19600519,10095,100950
19600520,10135,101350
19600521,10133,101330
19600522,10160,101600
19600523,10147,101470
19600524,10180,101800
19600525,10282,102820
19600526,10263,102630
19600527,10220,102200
19600528,10257,102570
19600529,10286,102860
19600530,10252,102520
19600531,10250,102500
19600601,10256,102560
19600602,10262,102620
19600603,10232,102320
19600604,10170,101700
19600605,10112,101120
19600606,10138,101380
19600607,10198,101980
19600608,10095,100950
19600609,10028,100280
19600610,10087,100870
19600611,10142,101420
19600612,10110,101100
19600613,10086,100860
19600614,10133,101330
19600615,10235,102350
19600616,10252,102520
19600617,10272,102720
19600618,10255,102550
19600619,10251,102510
19600620,10250,102500
19600621,10239,102390
19600622,10189,101890
19600623,10145,101450
19600624,10179,101790
19600625,10179,101790
19600626,10222,102220
19600627,10269,102690
19600628,10237,102370
19600629,10202,102020
19600630,10194,101940
19600701,10184,101840
19600702,10170,101700
19600703,10166,101660
19600704,10141,101410
19600705,10044,100440
19600706,10030,100300
19600707,10033,100330
19600708,10034,100340
19600709,10091,100910
19600710,10020,100200
19600711,10017,100170
19600712,10144,101440
19600713,10131,101310
19600714,10088,100880
19600715,10132,101320
19600716,10154,101540
19600717,10037,100370
19600718,10071,100710
19600719,10116,101160
19600720,10211,102110
19600721,10192,101920
19600722,10158,101580
19600723,10170,101700
19600724,10183,101830
19600725,10171,101710
19600726,10190,101900
19600727,10178,101780
19600728,10089,100890
19600729,10084,100840
19600730,10105,101050
19600731,10150,101500
19600801,10165,101650
19600802,10178,101780
19600803,10153,101530
19600804,10132,101320
19600805,10143,101430
19600806,10170,101700
19600807,10151,101510
19600808,10126,101260
19600809,10121,101210
19600810,10092,100920
19600811,10048,100480
19600812,10086,100860
19600813,10088,100880
19600814,10046,100460
19600815,10092,100920
19600816,10144,101440
19600817,10088,100880
19600818,10020,100200
19600819,10113,101130
19600820,10137,101370
19600821,10152,101520
19600822,10095,100950
19600823,10137,101370
19600824,10105,101050
19600825,10072,100720
19600826,10105,101050
19600827,10135,101350
19600828,10164,101640
19600829,10149,101490
19600830,10120,101200
19600831,10129,101290
19600901,10111,101110
19600902,10141,101410
19600903,10068,100680
19600904,10065,100650
19600905,10150,101500
19600906,10166,101660
19600907,10172,101720
19600908,10243,102430
19600909,10242,102420
19600910,10236,102360
19600911,10203,102030
19600912,10189,101890
19600913,10221,102210
19600914,10099,100990
19600915, 9996,99960
19600916, 9938,99380
19600917,10021,100210
19600918,10115,101150
19600919,10113,101130
19600920,10136,101360
19600921,10154,101540
19600922,10178,101780
19600923,10238,102380
19600924,10298,102980
19600925,10269,102690
19600926,10222,102220
19600927,10145,101450
19600928,10085,100850
19600929,10082,100820
19600930,10041,100410
19601001,10056,100560
19601002,10078,100780
19601003,10052,100520
19601004,10026,100260
19601005,-9999,-99990
