date,ss,sunshine
19600101,    0,0
19600102,    0,0
19600103,    1,0.1
19600104,    0,0
19600105,   21,2.1
19600106,   58,5.8
19600107,    0,0
19600108,    0,0
19600109,   13,1.3
19600110,   56,5.6
19600111,    9,0.9
19600112,    6,0.6
19600113,    0,0
19600114,    0,0
19600115,   10,1
19600116,    0,0
19600117,   21,2.1
19600118,   28,2.8
19600119,   21,2.1
19600120,   15,1.5
19600121,    0,0
19600122,    0,0
19600123,    0,0
19600124,    0,0
19600125,   19,1.9
19600126,    0,0
19600127,    0,0
19600128,    0,0
19600129,   66,6.6
19600130,    0,0
19600131,    0,0
19600201,    0,0
19600202,    0,0
19600203,    0,0
19600204,   32,3.2
19600205,   38,3.8
19600206,   15,1.5
19600207,   76,7.6
19600208,   72,7.2
19600209,    0,0
19600210,    0,0
19600211,    0,0
19600212,    0,0
19600213,    0,0
19600214,    8,0.8
19600215,   69,6.9
19600216,   73,7.3
19600217,   61,6.1
19600218,   57,5.7
19600219,   82,8.2
19600220,    6,0.6
19600221,   85,8.5
19600222,    0,0
19600223,    1,0.1
19600224,    0,0
19600225,    0,0
19600226,    8,0.8
19600227,   67,6.7
19600228,   27,2.7
19600229,   24,2.4
19600301,    9,0.9
19600302,    6,0.6
19600303,   48,4.8
19600304,   56,5.6
19600305,   48,4.8
19600306,   12,1.2
19600307,   72,7.2
19600308,    4,0.4
19600309,    0,0
19600310,   39,3.9
19600311,    0,0
19600312,   10,1
19600313,    1,0.1
19600314,    1,0.1
19600315,   29,2.9
19600316,    0,0
19600317,    0,0
19600318,    0,0
19600319,    0,0
19600320,   80,8
19600321,   61,6.1
19600322,   67,6.7
19600323,   63,6.3
19600324,   33,3.3
19600325,    0,0
19600326,    0,0
19600327,    0,0
19600328,    0,0
19600329,    0,0
19600330,    0,0
19600331,   11,1.1
19600401,    5,0.5
19600402,   24,2.4
19600403,    2,0.2
19600404,   70,7
19600405,    0,0
19600406,    4,0.4
19600407,   31,3.1
19600408,   66,6.6
19600409,   37,3.7
19600410,   62,6.2
19600411,   54,5.4
19600412,    6,0.6
19600413,    9,0.9
19600414,   95,9.5
19600415,   62,6.2
19600416,   80,8
19600417,   72,7.2
19600418,   92,9.2
19600419,   80,8
19600420,  106,10.6
19600421,  117,11.7
19600422,   85,8.5
19600423,   17,1.7
19600424,   85,8.5
19600425,    0,0
19600426,   36,3.6
19600427,   93,9.3
19600428,    9,0.9
19600429,   51,5.1
19600430,  111,11.1
19600501,    0,0
19600502,    6,0.6
19600503,   67,6.7
19600504,    7,0.7
19600505,   81,8.1
19600506,  120,12
19600507,   94,9.4
19600508,   55,5.5
19600509,   22,2.2
19600510,  125,12.5
19600511,    1,0.1
19600512,   11,1.1
19600513,   54,5.4
19600514,  104,10.4
19600515,    3,0.3
19600516,   71,7.1
19600517,   24,2.4
19600518,    0,0
19600519,    0,0
19600520,    0,0
19600521,    0,0
19600522,    9,0.9
19600523,   75,7.5
19600524,  130,13
19600525,  100,10
19600526,  104,10.4
19600527,   59,5.9
19600528,  128,12.8
19600529,  110,11
19600530,  115,11.5
19600531,  142,14.2
19600601,  131,13.1
19600602,  135,13.5
19600603,  104,10.4
19600604,  127,12.7
19600605,  131,13.1
19600606,    7,0.7
19600607,  115,11.5
19600608,   29,2.9
19600609,   28,2.8
19600610,   99,9.9
19600611,   49,4.9
19600612,   16,1.6
19600613,   97,9.7
19600614,   65,6.5
19600615,  113,11.3
19600616,   22,2.2
19600617,   96,9.6
19600618,   92,9.2
19600619,  145,14.5
19600620,  152,15.2
19600621,  142,14.2
19600622,  112,11.2
19600623,    2,0.2
19600624,    0,0
19600625,    3,0.3
19600626,  141,14.1
19600627,   11,1.1
19600628,  108,10.8
19600629,  122,12.2
19600630,   92,9.2
19600701,   42,4.2
19600702,   61,6.1
19600703,   22,2.2
19600704,   12,1.2
19600705,   33,3.3
19600706,   81,8.1
19600707,   64,6.4
19600708,    8,0.8
19600709,   33,3.3
19600710,   32,3.2
19600711,   19,1.9
19600712,   55,5.5
19600713,    0,0
19600714,  102,10.2
19600715,  107,10.7
19600716,   82,8.2
19600717,   69,6.9
19600718,   50,5
19600719,   22,2.2
19600720,    8,0.8
19600721,   64,6.4
19600722,   81,8.1
19600723,   13,1.3
19600724,    9,0.9
19600725,   35,3.5
19600726,   50,5
19600727,   31,3.1
19600728,   28,2.8
19600729,   43,4.3
19600730,   17,1.7
19600731,  124,12.4
19600801,   56,5.6
19600802,   65,6.5
19600803,   77,7.7
19600804,   31,3.1
19600805,   72,7.2
19600806,   27,2.7
19600807,   31,3.1
19600808,   49,4.9
19600809,  120,12
19600810,    9,0.9
19600811,    0,0
19600812,   98,9.8
19600813,   38,3.8
19600814,   17,1.7
19600815,   75,7.5
19600816,   77,7.7
19600817,   77,7.7
19600818,    9,0.9
19600819,   80,8
19600820,   28,2.8
19600821,   64,6.4
19600822,   17,1.7
19600823,   19,1.9
19600824,    1,0.1
19600825,   71,7.1
19600826,   42,4.2
19600827,  107,10.7
19600828,   50,5
19600829,   50,5
19600830,   13,1.3
19600831,   39,3.9
19600901,    2,0.2
19600902,   13,1.3
19600903,   31,3.1
19600904,   62,6.2
19600905,   44,4.4
19600906,    0,0
19600907,    4,0.4
19600908,   98,9.8
19600909,   69,6.9
19600910,   84,8.4
19600911,   92,9.2
19600912,   23,2.3
19600913,  106,10.6
19600914,    9,0.9
19600915,   80,8
19600916,    1,0.1
19600917,   29,2.9
19600918,   89,8.9
19600919,    0,0
19600920,    0,0
19600921,   83,8.3
19600922,    9,0.9
19600923,   27,2.7
19600924,   58,5.8
19600925,   67,6.7
19600926,   58,5.8
19600927,   71,7.1
19600928,   54,5.4
19600929,   21,2.1
19600930,    0,0
19601001,    4,0.4
19601002,   29,2.9
19601003,   69,6.9
19601004,    6,0.6
19601005,   49,4.9
19601006,   27,2.7
19601007,    3,0.3
19601008,    0,0
19601009,    5,0.5
19601010,    0,0
19601011,   75,7.5
19601012,   87,8.7
19601013,   56,5.6
19601014,   11,1.1
19601015,   57,5.7
19601016,   30,3
19601017,    8,0.8
19601018,   14,1.4
19601019,    6,0.6
19601020,    0,0
19601021,    2,0.2
19601022,    0,0
19601023,    0,0
19601024,    5,0.5
19601025,   50,5
19601026,    0,0
19601027,   47,4.7
19601028,   61,6.1
19601029,    0,0
19601030,   18,1.8
19601031,   33,3.3
19601101,   12,1.2
19601102,   80,8
19601103,   30,3
19601104,   22,2.2
19601105,   40,4
19601106,   25,2.5
19601107,   69,6.9
19601108,    1,0.1
19601109,    7,0.7
19601110,   17,1.7
19601111,   52,5.2
19601112,   10,1
19601113,   12,1.2
19601114,   42,4.2
19601115,   24,2.4
19601116,   68,6.8
19601117,    0,0
19601118,   20,2
19601119,   31,3.1
19601120,    0,0
19601121,    0,0
19601122,   30,3
19601123,   24,2.4
19601124,    0,0
19601125,    0,0
19601126,    8,0.8
19601127,    0,0
