,date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,year,month
22646,20220101,7.0,0.8,35.0,12.3,14.0,10.5,1.2,101730.0,0.0,2022,1
22647,20220102,6.0,0.3,29.0,10.8,11.4,8.7,0.4,101050.0,0.0,2022,1
22648,20220103,6.0,0.0,25.0,7.9,9.8,7.4,0.4,100790.0,0.0,2022,1
22649,20220104,6.0,0.0,22.0,6.6,7.7,1.0,4.0,100150.0,0.0,2022,1
22650,20220105,0.0,5.1,27.0,7.4,3.8,-3.5,0.0,101390.0,0.0,2022,1
22651,20220106,4.0,0.9,44.0,7.5,1.9,0.0,1.2,101640.0,0.0,2022,1
22652,20220107,3.0,2.6,31.0,10.5,3.8,-0.1,0.4,101070.0,0.0,2022,1
22653,20220108,7.0,0.0,29.0,8.9,5.2,1.8,4.8,100150.0,0.0,2022,1
22654,20220109,1.0,4.7,17.0,9.2,5.3,2.0,0.0,100300.0,0.0,2022,1
22655,20220110,8.0,0.0,44.0,10.4,5.6,4.6,0.6,101840.0,0.0,2022,1
22656,20220111,8.0,0.0,16.0,9.1,7.5,0.8,2.6,102990.0,0.0,2022,1
22657,20220112,0.0,5.3,24.0,9.6,5.0,-0.9,0.0,104060.0,0.0,2022,1
22658,20220113,0.0,5.8,56.0,9.5,4.3,-1.5,0.2,104120.0,0.0,2022,1
22659,20220114,0.0,5.8,58.0,5.8,4.0,-0.8,0.0,103610.0,0.0,2022,1
22660,20220115,8.0,0.0,52.0,9.5,2.5,2.2,0.2,102650.0,0.0,2022,1
22661,20220116,6.0,1.5,28.0,10.3,5.8,0.8,0.0,102710.0,0.0,2022,1
22662,20220117,0.0,6.1,42.0,7.5,5.5,-3.2,0.0,103770.0,0.0,2022,1
22663,20220118,5.0,1.7,58.0,9.4,2.1,-1.3,0.2,103720.0,0.0,2022,1
22664,20220119,5.0,2.0,48.0,6.0,4.0,0.2,0.0,102800.0,0.0,2022,1
22665,20220120,3.0,4.8,46.0,5.1,3.1,-2.6,0.0,103600.0,0.0,2022,1
22666,20220121,5.0,0.5,56.0,6.2,1.2,-1.3,0.0,103930.0,0.0,2022,1
22667,20220122,7.0,0.0,26.0,6.2,2.5,4.8,0.0,103760.0,0.0,2022,1
22668,20220123,8.0,0.0,22.0,4.6,5.5,4.1,0.0,103530.0,0.0,2022,1
22669,20220124,8.0,0.0,14.0,4.8,4.3,1.9,0.0,103360.0,0.0,2022,1
22670,20220125,8.0,0.0,13.0,8.9,3.4,1.8,0.0,103470.0,0.0,2022,1
22671,20220126,7.0,0.6,13.0,13.1,5.3,4.4,0.0,103280.0,0.0,2022,1
22672,20220127,4.0,1.7,38.0,11.1,8.8,0.1,0.0,102880.0,0.0,2022,1
22673,20220128,6.0,1.9,39.0,14.0,5.6,2.4,0.0,103440.0,0.0,2022,1
22674,20220129,6.0,2.8,63.0,8.9,8.2,0.8,0.0,102850.0,0.0,2022,1
22675,20220130,3.0,5.6,64.0,9.0,4.8,2.0,1.0,102990.0,0.0,2022,1
22676,20220131,4.0,6.6,82.0,14.8,5.5,3.9,0.0,102370.0,0.0,2022,1
22677,20220201,4.0,5.5,88.0,12.2,9.3,7.1,0.0,102200.0,0.0,2022,2
22678,20220202,6.0,1.1,74.0,10.3,9.7,7.1,0.0,102240.0,0.0,2022,2
22679,20220203,7.0,0.1,53.0,8.5,8.7,4.3,1.8,101480.0,0.0,2022,2
22680,20220204,5.0,2.8,41.0,11.0,6.4,2.0,2.0,101170.0,0.0,2022,2
22681,20220205,4.0,3.6,68.0,11.7,6.5,3.7,1.8,101870.0,0.0,2022,2
22682,20220206,6.0,2.6,72.0,11.0,7.7,1.5,0.2,100800.0,0.0,2022,2
22683,20220207,4.0,3.5,75.0,12.5,6.2,3.8,0.0,102540.0,0.0,2022,2
22684,20220208,8.0,0.0,69.0,14.4,8.2,7.6,0.0,102680.0,0.0,2022,2
22685,20220209,7.0,1.2,41.0,8.2,11.0,5.1,1.2,102360.0,0.0,2022,2
22686,20220210,5.0,1.0,65.0,9.4,6.7,-0.2,0.0,102320.0,0.0,2022,2
22687,20220211,3.0,4.9,72.0,8.8,4.6,-0.4,0.0,103170.0,0.0,2022,2
22688,20220212,6.0,3.5,94.0,9.9,4.2,5.8,0.0,102190.0,0.0,2022,2
22689,20220213,8.0,0.0,70.0,9.4,7.8,5.3,14.2,100160.0,0.0,2022,2
22690,20220214,6.0,2.3,25.0,12.7,7.3,2.2,1.4,99930.0,0.0,2022,2
22691,20220215,6.0,0.0,62.0,15.1,7.5,7.7,5.8,100660.0,0.0,2022,2
22692,20220216,7.0,0.9,31.0,12.4,11.4,7.7,0.4,99630.0,0.0,2022,2
22693,20220217,5.0,5.2,62.0,10.7,10.1,7.8,1.4,100810.0,0.0,2022,2
22694,20220218,6.0,2.5,104.0,10.9,9.2,2.4,0.2,99750.0,0.0,2022,2
22695,20220219,3.0,0.9,70.0,12.4,6.7,5.0,4.6,101010.0,0.0,2022,2
22696,20220220,7.0,0.0,41.0,11.7,8.7,4.2,4.4,100380.0,0.0,2022,2
22697,20220221,4.0,1.5,27.0,13.6,8.0,4.4,0.2,100990.0,0.0,2022,2
22698,20220222,5.0,2.3,75.0,10.7,9.0,1.7,0.0,101890.0,0.0,2022,2
22699,20220223,4.0,2.8,67.0,8.1,6.2,5.5,2.0,102110.0,0.0,2022,2
22700,20220224,4.0,3.8,86.0,11.5,6.8,2.7,1.0,101140.0,0.0,2022,2
22701,20220225,1.0,8.0,99.0,10.9,7.1,-1.1,0.0,102560.0,0.0,2022,2
22702,20220226,0.0,8.7,147.0,11.2,4.9,1.2,0.0,102990.0,0.0,2022,2
22703,20220227,0.0,9.5,141.0,12.4,6.2,3.0,0.0,102450.0,0.0,2022,2
22704,20220228,6.0,0.2,151.0,8.7,7.7,7.6,7.0,102400.0,0.0,2022,2
22705,20220301,8.0,0.0,60.0,7.8,8.2,6.4,11.8,102550.0,0.0,2022,3
22706,20220302,8.0,0.0,25.0,12.4,7.1,4.4,2.0,102080.0,0.0,2022,3
22707,20220303,7.0,0.2,45.0,7.4,8.4,6.7,0.2,101520.0,0.0,2022,3
22708,20220304,8.0,0.0,67.0,7.4,7.0,5.5,0.2,101920.0,0.0,2022,3
22709,20220305,8.0,0.0,27.0,8.1,6.5,3.6,0.4,102370.0,0.0,2022,3
22710,20220306,7.0,3.4,57.0,7.8,5.8,2.6,0.0,102850.0,0.0,2022,3
22711,20220307,4.0,6.8,128.0,12.9,5.2,-0.7,0.0,102420.0,0.0,2022,3
22712,20220308,2.0,7.3,162.0,13.2,6.1,5.3,0.0,101480.0,0.0,2022,3
22713,20220309,6.0,3.5,161.0,16.0,9.2,6.4,0.0,101620.0,0.0,2022,3
22714,20220310,5.0,5.4,127.0,12.5,11.2,8.3,0.0,101570.0,0.0,2022,3
22715,20220311,6.0,0.1,130.0,13.0,10.4,7.1,4.2,100470.0,0.0,2022,3
22716,20220312,4.0,5.9,69.0,11.6,10.1,8.1,1.2,100800.0,0.0,2022,3
22717,20220313,7.0,0.3,149.0,13.3,9.8,3.4,0.0,100720.0,0.0,2022,3
22718,20220314,3.0,5.5,111.0,16.0,8.3,4.5,0.0,102300.0,0.0,2022,3
22719,20220315,6.0,5.6,142.0,10.8,10.2,7.3,0.2,102180.0,0.0,2022,3
22720,20220316,8.0,0.0,138.0,14.2,9.1,1.7,10.8,101830.0,0.0,2022,3
22721,20220317,1.0,9.9,44.0,16.1,8.0,2.3,0.0,103150.0,0.0,2022,3
22722,20220318,0.0,10.5,203.0,14.1,9.2,7.4,0.0,104170.0,0.0,2022,3
22723,20220319,0.0,10.9,220.0,12.1,10.8,3.7,0.0,103690.0,0.0,2022,3
22724,20220320,2.0,7.9,212.0,17.3,7.9,0.3,0.0,102810.0,0.0,2022,3
22725,20220321,1.0,8.9,187.0,19.9,8.8,7.9,0.0,102800.0,0.0,2022,3
22726,20220322,2.0,10.1,198.0,19.8,13.9,5.1,0.0,102820.0,0.0,2022,3
22727,20220323,1.0,10.1,209.0,19.0,12.4,3.8,0.0,102950.0,0.0,2022,3
22728,20220324,0.0,10.2,216.0,17.7,11.4,4.7,0.0,102980.0,0.0,2022,3
22729,20220325,0.0,9.8,218.0,18.3,11.2,5.1,0.0,103140.0,0.0,2022,3
22730,20220326,0.0,10.7,209.0,13.2,11.7,5.5,0.0,103260.0,0.0,2022,3
22731,20220327,4.0,2.0,214.0,16.8,9.3,3.4,0.0,103150.0,0.0,2022,3
22732,20220328,5.0,5.3,96.0,12.2,10.1,7.4,0.0,102250.0,0.0,2022,3
22733,20220329,7.0,0.1,171.0,11.2,9.8,6.6,0.4,101200.0,0.0,2022,3
22734,20220330,8.0,1.2,125.0,7.9,8.9,1.3,0.0,100630.0,0.0,2022,3
22735,20220331,5.0,5.6,122.0,9.2,4.6,1.1,0.0,100960.0,0.0,2022,3
22736,20220401,2.0,8.9,190.0,9.9,5.2,0.0,0.0,101710.0,0.0,2022,4
22737,20220402,2.0,7.0,167.0,10.9,5.0,-1.2,0.0,102300.0,0.0,2022,4
22738,20220403,3.0,5.5,155.0,14.7,4.8,5.1,3.2,102530.0,0.0,2022,4
22739,20220404,8.0,0.0,61.0,14.9,9.9,7.3,0.2,101280.0,0.0,2022,4
22740,20220405,7.0,0.4,81.0,16.0,11.1,9.1,0.8,100880.0,0.0,2022,4
22741,20220406,7.0,1.6,119.0,14.0,12.6,6.9,8.6,99700.0,0.0,2022,4
22742,20220407,6.0,7.1,197.0,11.7,10.4,2.5,0.0,99030.0,0.0,2022,4
